nuc,name,category_name,category_code,format,total
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,Books & Libraries,book,Book,492
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,Books & Libraries,book,Book/Illustrated,4
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,Books & Libraries,book,Government publication,2
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,Books & Libraries,book,Article,1
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,Books & Libraries,book,Article/Other article,1
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,Books & Libraries,book,Periodical,1
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,Books & Libraries,book,"Periodical/Journal, magazine, other",1
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,"Diaries, Letters & Archives",diary,Unpublished,20
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,"Diaries, Letters & Archives",diary,Published,2
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,"Images, Maps & Artefacts",image,Object,825
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,"Images, Maps & Artefacts",image,Photograph,281
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,"Images, Maps & Artefacts",image,Art work,4
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,"Images, Maps & Artefacts",image,Government publication,1
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,Research & Reports,research,Government publication,3
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,Research & Reports,research,Book,2
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,Research & Reports,research,Book/Illustrated,2
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,Research & Reports,research,Article,1
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,Research & Reports,research,Article/Report,1
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,Research & Reports,research,Periodical,1
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,Research & Reports,research,"Periodical/Journal, magazine, other",1
NBAL,Abbotsleigh. Betty Archdale Library.,Books & Libraries,book,Book,1
ACT,ACT Legislative Assembly Library.,Books & Libraries,book,Book,5653
ACT,ACT Legislative Assembly Library.,Books & Libraries,book,Book/Braille,33
ACT,ACT Legislative Assembly Library.,Books & Libraries,book,Book/Illustrated,2668
ACT,ACT Legislative Assembly Library.,Books & Libraries,book,Book/Large print,141
ACT,ACT Legislative Assembly Library.,Books & Libraries,book,Government publication,1259
ACT,ACT Legislative Assembly Library.,Books & Libraries,book,Article,1106
ACT,ACT Legislative Assembly Library.,Books & Libraries,book,Article/Book chapter,16
ACT,ACT Legislative Assembly Library.,Books & Libraries,book,Article/Conference paper,3
ACT,ACT Legislative Assembly Library.,Books & Libraries,book,Article/Journal or magazine article,54
ACT,ACT Legislative Assembly Library.,Books & Libraries,book,Article/Other article,74
ACT,ACT Legislative Assembly Library.,Books & Libraries,book,Article/Report,581
ACT,ACT Legislative Assembly Library.,Books & Libraries,book,Article/Review,1
ACT,ACT Legislative Assembly Library.,Books & Libraries,book,Article/Working paper,78
ACT,ACT Legislative Assembly Library.,Books & Libraries,book,Periodical,390
ACT,ACT Legislative Assembly Library.,Books & Libraries,book,"Periodical/Journal, magazine, other",390
ACT,ACT Legislative Assembly Library.,Books & Libraries,book,Periodical/Newspaper,2
ACT,ACT Legislative Assembly Library.,Books & Libraries,book,Audio book,234
ACT,ACT Legislative Assembly Library.,Books & Libraries,book,Conference Proceedings,139
ACT,ACT Legislative Assembly Library.,Books & Libraries,book,Archived website,103
ACT,ACT Legislative Assembly Library.,Books & Libraries,book,Microform,54
ACT,ACT Legislative Assembly Library.,Books & Libraries,book,Thesis,11
ACT,ACT Legislative Assembly Library.,"Diaries, Letters & Archives",diary,Unpublished,15
ACT,ACT Legislative Assembly Library.,"Diaries, Letters & Archives",diary,Government publication,8
ACT,ACT Legislative Assembly Library.,"Diaries, Letters & Archives",diary,Published,5
ACT,ACT Legislative Assembly Library.,"Images, Maps & Artefacts",image,Government publication,21
ACT,ACT Legislative Assembly Library.,"Images, Maps & Artefacts",image,Map,20
ACT,ACT Legislative Assembly Library.,"Images, Maps & Artefacts",image,Map/Atlas,14
ACT,ACT Legislative Assembly Library.,"Images, Maps & Artefacts",image,Map/Electronic,2
ACT,ACT Legislative Assembly Library.,"Images, Maps & Artefacts",image,Map/Map series,1
ACT,ACT Legislative Assembly Library.,"Images, Maps & Artefacts",image,Map/Single map,4
ACT,ACT Legislative Assembly Library.,"Images, Maps & Artefacts",image,Object,6
