nuc,name,category_name,category_code,total
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,Books & Libraries,book,492
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,"Diaries, Letters & Archives",diary,22
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,"Images, Maps & Artefacts",image,1107
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,Magazines & Newsletters,magazine,0
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,"Music, Audio & Video",music,0
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,Research & Reports,research,3
NBAL,Abbotsleigh. Betty Archdale Library.,Books & Libraries,book,1
NBAL,Abbotsleigh. Betty Archdale Library.,"Diaries, Letters & Archives",diary,0
NBAL,Abbotsleigh. Betty Archdale Library.,"Images, Maps & Artefacts",image,0
NBAL,Abbotsleigh. Betty Archdale Library.,Magazines & Newsletters,magazine,0
NBAL,Abbotsleigh. Betty Archdale Library.,"Music, Audio & Video",music,0
NBAL,Abbotsleigh. Betty Archdale Library.,Research & Reports,research,0
ADFA,"Academy Library, UNSW Canberra.",Books & Libraries,book,273783
ADFA,"Academy Library, UNSW Canberra.","Diaries, Letters & Archives",diary,889
ADFA,"Academy Library, UNSW Canberra.","Images, Maps & Artefacts",image,2905
ADFA,"Academy Library, UNSW Canberra.",Magazines & Newsletters,magazine,5
ADFA,"Academy Library, UNSW Canberra.","Music, Audio & Video",music,17379
ADFA,"Academy Library, UNSW Canberra.",Research & Reports,research,25333
ACT,ACT Legislative Assembly Library.,Books & Libraries,book,6801
ACT,ACT Legislative Assembly Library.,"Diaries, Letters & Archives",diary,19
ACT,ACT Legislative Assembly Library.,"Images, Maps & Artefacts",image,29
ACT,ACT Legislative Assembly Library.,Magazines & Newsletters,magazine,5
ACT,ACT Legislative Assembly Library.,"Music, Audio & Video",music,249
ACT,ACT Legislative Assembly Library.,Research & Reports,research,9938
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,Books & Libraries,book,70346
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,"Diaries, Letters & Archives",diary,91
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,"Images, Maps & Artefacts",image,6068
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,Magazines & Newsletters,magazine,0
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,"Music, Audio & Video",music,32475
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,Research & Reports,research,657
SAH,Adelaide Hills Library Service. Stirling Library.,Books & Libraries,book,51241
SAH,Adelaide Hills Library Service. Stirling Library.,"Diaries, Letters & Archives",diary,86
SAH,Adelaide Hills Library Service. Stirling Library.,"Images, Maps & Artefacts",image,224
SAH,Adelaide Hills Library Service. Stirling Library.,Magazines & Newsletters,magazine,0
SAH,Adelaide Hills Library Service. Stirling Library.,"Music, Audio & Video",music,27851
SAH,Adelaide Hills Library Service. Stirling Library.,Research & Reports,research,569
STWL,Adelaide Plains Library Service. Two Wells Public Library.,Books & Libraries,book,12443
STWL,Adelaide Plains Library Service. Two Wells Public Library.,"Diaries, Letters & Archives",diary,22
STWL,Adelaide Plains Library Service. Two Wells Public Library.,"Images, Maps & Artefacts",image,46
STWL,Adelaide Plains Library Service. Two Wells Public Library.,Magazines & Newsletters,magazine,0
STWL,Adelaide Plains Library Service. Two Wells Public Library.,"Music, Audio & Video",music,7009
STWL,Adelaide Plains Library Service. Two Wells Public Library.,Research & Reports,research,121
SATL,Adelaide Theological Library.,Books & Libraries,book,0
SATL,Adelaide Theological Library.,"Diaries, Letters & Archives",diary,0
SATL,Adelaide Theological Library.,"Images, Maps & Artefacts",image,0
SATL,Adelaide Theological Library.,Magazines & Newsletters,magazine,0
SATL,Adelaide Theological Library.,"Music, Audio & Video",music,0
SATL,Adelaide Theological Library.,Research & Reports,research,0
QAAT,Administrative Appeals Tribunal. Principal Registry Library.,Books & Libraries,book,3651
QAAT,Administrative Appeals Tribunal. Principal Registry Library.,"Diaries, Letters & Archives",diary,8
QAAT,Administrative Appeals Tribunal. Principal Registry Library.,"Images, Maps & Artefacts",image,34
QAAT,Administrative Appeals Tribunal. Principal Registry Library.,Magazines & Newsletters,magazine,1
