nuc,name,zone,format,total
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,collection,Unpublished,20
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,collection,Published,2
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,picture,Object,826
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,picture,Photograph,281
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,picture,Art work,4
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,article,Article,2
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,article,Article/Other article,1
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,article,Article/Report,1
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,article,Periodical,1
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,article,"Periodical/Journal, magazine, other",1
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,book,Book,491
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,book,Book/Illustrated,3
NBAL,Abbotsleigh. Betty Archdale Library.,book,Book,1
ADFA,"Academy Library, UNSW Canberra.",map,Map,2624
ADFA,"Academy Library, UNSW Canberra.",map,Map/Aerial photograph,2
ADFA,"Academy Library, UNSW Canberra.",map,Map/Atlas,360
ADFA,"Academy Library, UNSW Canberra.",map,Map/Braille,1
ADFA,"Academy Library, UNSW Canberra.",map,Map/Electronic,13
ADFA,"Academy Library, UNSW Canberra.",map,Map/Large print,1
ADFA,"Academy Library, UNSW Canberra.",map,Map/Map series,185
ADFA,"Academy Library, UNSW Canberra.",map,Map/Single map,671
ADFA,"Academy Library, UNSW Canberra.",map,Microform,24
ADFA,"Academy Library, UNSW Canberra.",collection,Unpublished,739
ADFA,"Academy Library, UNSW Canberra.",collection,Published,122
ADFA,"Academy Library, UNSW Canberra.",picture,Object,96
ADFA,"Academy Library, UNSW Canberra.",picture,"Poster, chart, other",78
ADFA,"Academy Library, UNSW Canberra.",picture,Photograph,77
ADFA,"Academy Library, UNSW Canberra.",picture,Art work,22
ADFA,"Academy Library, UNSW Canberra.",picture,Microform,13
ADFA,"Academy Library, UNSW Canberra.",music,Audio book,10961
ADFA,"Academy Library, UNSW Canberra.",music,Video,5875
ADFA,"Academy Library, UNSW Canberra.",music,Video/Captioned,1284
ADFA,"Academy Library, UNSW Canberra.",music,Sound,381
ADFA,"Academy Library, UNSW Canberra.",music,"Sound/Interview, lecture, talk",73
ADFA,"Academy Library, UNSW Canberra.",music,Sound/Other sound,265
ADFA,"Academy Library, UNSW Canberra.",music,Sound/Recorded music,115
ADFA,"Academy Library, UNSW Canberra.",music,Microform,375
ADFA,"Academy Library, UNSW Canberra.",music,Printed music,45
ADFA,"Academy Library, UNSW Canberra.",article,Conference Proceedings,10796
ADFA,"Academy Library, UNSW Canberra.",article,Article,8156
ADFA,"Academy Library, UNSW Canberra.",article,Article/Book chapter,55
ADFA,"Academy Library, UNSW Canberra.",article,Article/Conference paper,10
ADFA,"Academy Library, UNSW Canberra.",article,Article/Journal or magazine article,260
ADFA,"Academy Library, UNSW Canberra.",article,Article/Other article,752
ADFA,"Academy Library, UNSW Canberra.",article,Article/Report,4786
ADFA,"Academy Library, UNSW Canberra.",article,Article/Review,75
ADFA,"Academy Library, UNSW Canberra.",article,Article/Working paper,1372
ADFA,"Academy Library, UNSW Canberra.",article,Periodical,3051
ADFA,"Academy Library, UNSW Canberra.",article,"Periodical/Journal, magazine, other",3037
ADFA,"Academy Library, UNSW Canberra.",article,Periodical/Newspaper,33
ADFA,"Academy Library, UNSW Canberra.",article,Microform,764
ADFA,"Academy Library, UNSW Canberra.",book,Book,267045
ADFA,"Academy Library, UNSW Canberra.",book,Book/Braille,3419
ADFA,"Academy Library, UNSW Canberra.",book,Book/Illustrated,171208
ADFA,"Academy Library, UNSW Canberra.",book,Book/Large print,3381
ADFA,"Academy Library, UNSW Canberra.",book,Audio book,10961
ADFA,"Academy Library, UNSW Canberra.",book,Conference Proceedings,10796
ADFA,"Academy Library, UNSW Canberra.",book,Thesis,4267
ADFA,"Academy Library, UNSW Canberra.",book,Microform,3747
ADFA,"Academy Library, UNSW Canberra.",book,Archived website,103
ACT,ACT Legislative Assembly Library.,map,Map,23
ACT,ACT Legislative Assembly Library.,map,Map/Atlas,18
ACT,ACT Legislative Assembly Library.,map,Map/Electronic,2
ACT,ACT Legislative Assembly Library.,map,Map/Map series,2
ACT,ACT Legislative Assembly Library.,map,Map/Single map,5
ACT,ACT Legislative Assembly Library.,map,Microform,2
ACT,ACT Legislative Assembly Library.,music,Audio book,234
ACT,ACT Legislative Assembly Library.,music,Video,11
ACT,ACT Legislative Assembly Library.,music,Video/Captioned,1
ACT,ACT Legislative Assembly Library.,music,Printed music,4
ACT,ACT Legislative Assembly Library.,music,Sound,3
ACT,ACT Legislative Assembly Library.,music,Sound/Other sound,3
ACT,ACT Legislative Assembly Library.,music,Sound/Recorded music,1
ACT,ACT Legislative Assembly Library.,music,Microform,2
ACT,ACT Legislative Assembly Library.,picture,Object,7
ACT,ACT Legislative Assembly Library.,picture,Photograph,3
ACT,ACT Legislative Assembly Library.,picture,"Poster, chart, other",2
ACT,ACT Legislative Assembly Library.,article,Article,2997
ACT,ACT Legislative Assembly Library.,article,Article/Book chapter,31
ACT,ACT Legislative Assembly Library.,article,Article/Conference paper,2
ACT,ACT Legislative Assembly Library.,article,Article/Journal or magazine article,51
ACT,ACT Legislative Assembly Library.,article,Article/Other article,83
ACT,ACT Legislative Assembly Library.,article,Article/Report,1816
ACT,ACT Legislative Assembly Library.,article,Article/Review,4
ACT,ACT Legislative Assembly Library.,article,Article/Working paper,122
ACT,ACT Legislative Assembly Library.,article,Periodical,483
ACT,ACT Legislative Assembly Library.,article,"Periodical/Journal, magazine, other",483
ACT,ACT Legislative Assembly Library.,article,Periodical/Newspaper,4
ACT,ACT Legislative Assembly Library.,article,Conference Proceedings,316
ACT,ACT Legislative Assembly Library.,article,Microform,76
ACT,ACT Legislative Assembly Library.,collection,Unpublished,23
ACT,ACT Legislative Assembly Library.,collection,Published,2
ACT,ACT Legislative Assembly Library.,book,Book,8395
ACT,ACT Legislative Assembly Library.,book,Book/Braille,42
ACT,ACT Legislative Assembly Library.,book,Book/Illustrated,4267
ACT,ACT Legislative Assembly Library.,book,Book/Large print,89
ACT,ACT Legislative Assembly Library.,book,Conference Proceedings,316
ACT,ACT Legislative Assembly Library.,book,Audio book,234
ACT,ACT Legislative Assembly Library.,book,Archived website,138
ACT,ACT Legislative Assembly Library.,book,Microform,49
ACT,ACT Legislative Assembly Library.,book,Thesis,29
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,picture,Photograph,5886
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,picture,"Poster, chart, other",47
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,picture,Object,14
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,picture,Art work,2
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,picture,Microform,2
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,music,Audio book,23907
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,music,Video,6859
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,music,Video/Captioned,4422
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,music,Sound,1646
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,music,"Sound/Interview, lecture, talk",4
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,music,Sound/Other sound,726
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,music,Sound/Recorded music,1232
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,music,Microform,146
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,music,Printed music,20
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,article,Conference Proceedings,290
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,article,Article,134
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,article,Article/Book chapter,16
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,article,Article/Conference paper,1
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,article,Article/Journal or magazine article,28
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,article,Article/Other article,30
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,article,Article/Report,34
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,article,Article/Review,23
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,article,Article/Working paper,3
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,article,Periodical,24
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,article,"Periodical/Journal, magazine, other",23
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,article,Periodical/Newspaper,1
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,article,Microform,3
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,collection,Published,47
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,collection,Unpublished,44
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,map,Map,120
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,map,Map/Atlas,55
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,map,Map/Single map,17
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,map,Microform,2
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,book,Book,68929
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,book,Book/Braille,1497
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,book,Book/Illustrated,41256
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,book,Book/Large print,12104
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,book,Audio book,23907
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,book,Conference Proceedings,290
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,book,Microform,198
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,book,Thesis,32
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,book,Archived website,4
SAH,Adelaide Hills Library Service. Stirling Library.,map,Map,109
SAH,Adelaide Hills Library Service. Stirling Library.,map,Map/Atlas,48
SAH,Adelaide Hills Library Service. Stirling Library.,map,Map/Electronic,1
SAH,Adelaide Hills Library Service. Stirling Library.,map,Map/Single map,16
SAH,Adelaide Hills Library Service. Stirling Library.,music,Audio book,19062
SAH,Adelaide Hills Library Service. Stirling Library.,music,Video,6422
SAH,Adelaide Hills Library Service. Stirling Library.,music,Video/Captioned,4517
SAH,Adelaide Hills Library Service. Stirling Library.,music,Sound,2243
SAH,Adelaide Hills Library Service. Stirling Library.,music,"Sound/Interview, lecture, talk",3
SAH,Adelaide Hills Library Service. Stirling Library.,music,Sound/Other sound,789
SAH,Adelaide Hills Library Service. Stirling Library.,music,Sound/Recorded music,1968
SAH,Adelaide Hills Library Service. Stirling Library.,music,Microform,128
SAH,Adelaide Hills Library Service. Stirling Library.,music,Printed music,67
SAH,Adelaide Hills Library Service. Stirling Library.,picture,"Poster, chart, other",62
SAH,Adelaide Hills Library Service. Stirling Library.,picture,Photograph,29
SAH,Adelaide Hills Library Service. Stirling Library.,picture,Object,15
SAH,Adelaide Hills Library Service. Stirling Library.,picture,Art work,7
SAH,Adelaide Hills Library Service. Stirling Library.,picture,Microform,1
SAH,Adelaide Hills Library Service. Stirling Library.,article,Conference Proceedings,265
SAH,Adelaide Hills Library Service. Stirling Library.,article,Article,141
SAH,Adelaide Hills Library Service. Stirling Library.,article,Article/Book chapter,26
SAH,Adelaide Hills Library Service. Stirling Library.,article,Article/Journal or magazine article,26
SAH,Adelaide Hills Library Service. Stirling Library.,article,Article/Other article,32
SAH,Adelaide Hills Library Service. Stirling Library.,article,Article/Report,34
SAH,Adelaide Hills Library Service. Stirling Library.,article,Article/Review,18
SAH,Adelaide Hills Library Service. Stirling Library.,article,Article/Working paper,2
SAH,Adelaide Hills Library Service. Stirling Library.,article,Periodical,17
SAH,Adelaide Hills Library Service. Stirling Library.,article,"Periodical/Journal, magazine, other",17
SAH,Adelaide Hills Library Service. Stirling Library.,article,Microform,2
SAH,Adelaide Hills Library Service. Stirling Library.,book,Book,50201
SAH,Adelaide Hills Library Service. Stirling Library.,book,Book/Braille,1774
SAH,Adelaide Hills Library Service. Stirling Library.,book,Book/Illustrated,33280
SAH,Adelaide Hills Library Service. Stirling Library.,book,Book/Large print,11224
SAH,Adelaide Hills Library Service. Stirling Library.,book,Audio book,19062
SAH,Adelaide Hills Library Service. Stirling Library.,book,Conference Proceedings,265
SAH,Adelaide Hills Library Service. Stirling Library.,book,Microform,171
SAH,Adelaide Hills Library Service. Stirling Library.,book,Thesis,28
SAH,Adelaide Hills Library Service. Stirling Library.,book,Archived website,6
SAH,Adelaide Hills Library Service. Stirling Library.,collection,Published,46
SAH,Adelaide Hills Library Service. Stirling Library.,collection,Unpublished,39
STWL,Adelaide Plains Library Service. Two Wells Public Library.,map,Map,20
STWL,Adelaide Plains Library Service. Two Wells Public Library.,map,Map/Atlas,7
STWL,Adelaide Plains Library Service. Two Wells Public Library.,map,Map/Single map,4
STWL,Adelaide Plains Library Service. Two Wells Public Library.,collection,Published,14
STWL,Adelaide Plains Library Service. Two Wells Public Library.,collection,Unpublished,8
STWL,Adelaide Plains Library Service. Two Wells Public Library.,picture,"Poster, chart, other",16
STWL,Adelaide Plains Library Service. Two Wells Public Library.,picture,Photograph,7
STWL,Adelaide Plains Library Service. Two Wells Public Library.,picture,Object,3
STWL,Adelaide Plains Library Service. Two Wells Public Library.,music,Audio book,5082
STWL,Adelaide Plains Library Service. Two Wells Public Library.,music,Video,1692
STWL,Adelaide Plains Library Service. Two Wells Public Library.,music,Video/Captioned,1318
STWL,Adelaide Plains Library Service. Two Wells Public Library.,music,Sound,207
STWL,Adelaide Plains Library Service. Two Wells Public Library.,music,Sound/Other sound,115
STWL,Adelaide Plains Library Service. Two Wells Public Library.,music,Sound/Recorded music,124
STWL,Adelaide Plains Library Service. Two Wells Public Library.,music,Microform,31
STWL,Adelaide Plains Library Service. Two Wells Public Library.,music,Printed music,3
STWL,Adelaide Plains Library Service. Two Wells Public Library.,book,Book,12127
STWL,Adelaide Plains Library Service. Two Wells Public Library.,book,Book/Braille,386
STWL,Adelaide Plains Library Service. Two Wells Public Library.,book,Book/Illustrated,7581
STWL,Adelaide Plains Library Service. Two Wells Public Library.,book,Book/Large print,3639
STWL,Adelaide Plains Library Service. Two Wells Public Library.,book,Audio book,5082
STWL,Adelaide Plains Library Service. Two Wells Public Library.,book,Conference Proceedings,110
STWL,Adelaide Plains Library Service. Two Wells Public Library.,book,Microform,34
STWL,Adelaide Plains Library Service. Two Wells Public Library.,book,Archived website,3
STWL,Adelaide Plains Library Service. Two Wells Public Library.,book,Thesis,3
STWL,Adelaide Plains Library Service. Two Wells Public Library.,article,Conference Proceedings,110
STWL,Adelaide Plains Library Service. Two Wells Public Library.,article,Article,18
STWL,Adelaide Plains Library Service. Two Wells Public Library.,article,Article/Book chapter,8
STWL,Adelaide Plains Library Service. Two Wells Public Library.,article,Article/Journal or magazine article,3
STWL,Adelaide Plains Library Service. Two Wells Public Library.,article,Article/Other article,5
STWL,Adelaide Plains Library Service. Two Wells Public Library.,article,Article/Report,1
STWL,Adelaide Plains Library Service. Two Wells Public Library.,article,Periodical,6
STWL,Adelaide Plains Library Service. Two Wells Public Library.,article,"Periodical/Journal, magazine, other",6
STWL,Adelaide Plains Library Service. Two Wells Public Library.,article,Microform,1
QAAT,Administrative Appeals Tribunal. Principal Registry Library.,map,Map,26
QAAT,Administrative Appeals Tribunal. Principal Registry Library.,map,Map/Atlas,19
QAAT,Administrative Appeals Tribunal. Principal Registry Library.,map,Microform,1
QAAT,Administrative Appeals Tribunal. Principal Registry Library.,collection,Unpublished,8
