nuc,name,zone,total
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,people,0
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,map,0
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,music,0
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,article,3
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,picture,1107
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,collection,22
VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,book,492
NBAL,Abbotsleigh. Betty Archdale Library.,people,0
NBAL,Abbotsleigh. Betty Archdale Library.,map,0
NBAL,Abbotsleigh. Betty Archdale Library.,music,0
NBAL,Abbotsleigh. Betty Archdale Library.,collection,0
NBAL,Abbotsleigh. Betty Archdale Library.,picture,0
NBAL,Abbotsleigh. Betty Archdale Library.,article,0
NBAL,Abbotsleigh. Betty Archdale Library.,book,1
ADFA,"Academy Library, UNSW Canberra.",people,0
ADFA,"Academy Library, UNSW Canberra.",music,17385
ADFA,"Academy Library, UNSW Canberra.",collection,891
ADFA,"Academy Library, UNSW Canberra.",article,22057
ADFA,"Academy Library, UNSW Canberra.",map,2642
ADFA,"Academy Library, UNSW Canberra.",picture,281
ADFA,"Academy Library, UNSW Canberra.",book,276012
ACT,ACT Legislative Assembly Library.,people,0
ACT,ACT Legislative Assembly Library.,map,20
ACT,ACT Legislative Assembly Library.,collection,19
ACT,ACT Legislative Assembly Library.,music,251
ACT,ACT Legislative Assembly Library.,picture,9
ACT,ACT Legislative Assembly Library.,article,4299
ACT,ACT Legislative Assembly Library.,book,12022
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,people,0
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,map,123
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,picture,5952
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,collection,91
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,music,32805
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,article,483
SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,book,71058
SAH,Adelaide Hills Library Service. Stirling Library.,people,0
SAH,Adelaide Hills Library Service. Stirling Library.,map,111
SAH,Adelaide Hills Library Service. Stirling Library.,picture,115
SAH,Adelaide Hills Library Service. Stirling Library.,collection,86
SAH,Adelaide Hills Library Service. Stirling Library.,music,28150
SAH,Adelaide Hills Library Service. Stirling Library.,article,445
SAH,Adelaide Hills Library Service. Stirling Library.,book,51639
STWL,Adelaide Plains Library Service. Two Wells Public Library.,people,0
STWL,Adelaide Plains Library Service. Two Wells Public Library.,map,20
STWL,Adelaide Plains Library Service. Two Wells Public Library.,collection,22
STWL,Adelaide Plains Library Service. Two Wells Public Library.,picture,29
