id,nuc,name,parent,total
VPWLH,VPWLH,4th/19th Prince of Wales'  Light Horse Regiment Unit. History Room.,,1570
NBAL,NBAL,Abbotsleigh. Betty Archdale Library.,,1
ADFA,ADFA,"Academy Library, UNSW Canberra.",,291134
ACT,ACT,ACT Legislative Assembly Library.,,13651
SACC,SACC,Adelaide City Libraries. Adelaide City Libraries - City Library.,,87870
SAH,SAH,Adelaide Hills Library Service. Stirling Library.,,62430
STWL,STWL,Adelaide Plains Library Service. Two Wells Public Library.,,15176
SATL,SATL,Adelaide Theological Library.,,1326
QAAT,QAAT,Administrative Appeals Tribunal. Principal Registry Library.,,4227
WAHS,WAHS,Albany Historical Society Inc..,,1621
9907,,Albany Public Library.,,1
WAPY,WAPY,Albany Public Library.,9907,1
WWEL,WWEL,Albany Public Library. Wellstead Library.,9907,0
VAPRC,VAPRC,Albert Park-South Melbourne Rowing Club.,,16
NABH,NABH,Albury Wodonga Health.,,1010
NALB,NALB,AlburyCity libraries. Albury LibraryMuseum.,,49196
NALB:DC,NALB:DC,AlburyCity libraries. Albury LibraryMuseum. Albury LibraryMuseum Digital Collections.,NALB,33329
340602,,AlburyCity libraries. Albury LibraryMuseum. Albury LibraryMuseum Digital Collections. Albury Library Museum Digital Collections.,NALB:DC,0
VADF,VADF,Alcohol and Drug Foundation. Alcohol and Drug Foundation Library.,,3519
SALC,SALC,Alexandrina Libraries. Goolwa Library.,,38747
VAHNL,VAHNL,Alfred Hospital Nurses League - Nursing Archives.,,44
XASPL,XASPL,Alice Springs Town Council. Alice Springs Public Library.,,114910
VAACS,VAACS,All Access.,,1
QASAS,QASAS,All Saints Anglican School.,,0
5428,,All Saints Anglican School. Junior Library.,QASAS,0
5430,,All Saints Anglican School. Senior Library.,QASAS,0
14992,,Alphacrucis College Limited.,,74621
SALPH,SALPH,Alphacrucis College Limited. Adelaide Campus.,14992,5950
QHBC,QHBC,Alphacrucis College Limited. Brisbane Campus Library.,14992,2722
TALPH,TALPH,Alphacrucis College Limited. Hobart Campus.,14992,7944
VHBC,VHBC,Alphacrucis College Limited. Melbourne Campus Library.,14992,30960
WHBC,WHBC,Alphacrucis College Limited. Perth Campus Library.,14992,5461
NSCR,NSCR,Alphacrucis College Limited. Sydney Campus Library.,14992,21584
SALS,SALS,ALS Library Services Pty Ltd.,,71
XAL,XAL,Alyangula Area School. Alyangula Joint Use Library.,,13903
SARHC,SARHC,American River Historic Collection.,,191
SANDA,SANDA,Andamooka School Community. Andamooka Library.,,6913
VTAMA,VTAMA,Ararat Gallery TAMA.,,549
AAACT,AAACT,ArchivesACT.,,111651
NARM,NARM,Armidale Regional Council Libraries. Armidale War Memorial Library.,,1
NSWA,NSWA,Art Gallery of New South Wales. Edmund and Joanna Capon Research Library and Archive.,,82164
SAA,SAA,Art Gallery of South Australia. Art Gallery of South Australia Research Library.,,41461
VACP,VACP,Arts Centre Melbourne. Performing Arts Collection.,,5316
NAS,NAS,Ascham School: Margaret Bailey Library.,,5
NCHBS,NCHBS,ASEAN - China Business Services.,,29
VSPC,VSPC,Association of Franciscan Order of Friars Minor. St Paschal Library.,,46591
AAGD,AAGD,Attorney General's Department.,,17597
VAGB,VAGB,Aussie Global Books.,,2
SAUS,SAUS,AusStage.,,178007
SAUS:ANDS,SAUS:ANDS,AusStage. Research Data via ANDS.,SAUS,0
VAUH,VAUH,Austin Health. Austin Health Library.,,24617
VAUH:IR,VAUH:IR,Austin Health. Austin Health Library. Digital Respository.,VAUH,19045
VAVSAJ,VAVSAJ,Australasian Journal of Victorian Studies .,,102
VPC,VPC,Australia Post. Australia Post: POSTlibrary & Knowledge Centre.,,1
12216,,Australian Academy of Science.,,20031
AAS:BF,AAS:BF,Australian Academy of Science. Basser Library and Fenner Archives.,12216,1
AAS,AAS,Australian Academy of Science. Basser Library.,12216,0
AAS:FA,AAS:FA,Australian Academy of Science. Fenner Archives.,12216,20030
12376,,Australian and New Zealand College of Anaesthetists.,,5635
VANAN:IR,VANAN:IR,Australian and New Zealand College of Anaesthetists. ANZCA Institutional Repository .,12376,601
VANAN,VANAN,Australian and New Zealand College of Anaesthetists. ANZCA Library.,12376,4677
